[Tue Oct 02 19:59:23.898225 2018] [php7:error] [pid 14761] [client 127.0.0.1:48288] PHP Fatal error:  Uncaught PDOException: SQLSTATE[HY000] [1045] Access denied for user 'morty'@'localhost' (using password: YES) in /home/adam/git/oop/src/Admin/Parameters/AdminSettings.php:20\nStack trace:\n#0 /home/adam/git/oop/src/Admin/Parameters/AdminSettings.php(20): PDO->__construct('mysql:host=loca...', 'morty', 'Adrog_2016')\n#1 /home/adam/git/oop/src/Site/Parameters/Settings.php(16): Src\\Admin\\Parameters\\AdminSettings->setDatabase('PDO', 'localhost', 'test', 'morty', 'Adrog_2016')\n#2 /home/adam/git/oop/webmain/index.php(4): include('/home/adam/git/...')\n#3 {main}\n  thrown in /home/adam/git/oop/src/Admin/Parameters/AdminSettings.php on line 20
[Tue Oct 02 19:59:25.232279 2018] [php7:error] [pid 14762] [client 127.0.0.1:48292] PHP Fatal error:  Uncaught PDOException: SQLSTATE[HY000] [1045] Access denied for user 'morty'@'localhost' (using password: YES) in /home/adam/git/oop/src/Admin/Parameters/AdminSettings.php:20\nStack trace:\n#0 /home/adam/git/oop/src/Admin/Parameters/AdminSettings.php(20): PDO->__construct('mysql:host=loca...', 'morty', 'Adrog_2016')\n#1 /home/adam/git/oop/src/Site/Parameters/Settings.php(16): Src\\Admin\\Parameters\\AdminSettings->setDatabase('PDO', 'localhost', 'test', 'morty', 'Adrog_2016')\n#2 /home/adam/git/oop/webmain/index.php(4): include('/home/adam/git/...')\n#3 {main}\n  thrown in /home/adam/git/oop/src/Admin/Parameters/AdminSettings.php on line 20
[Tue Oct 02 22:06:35.589394 2018] [php7:error] [pid 11631] [client 127.0.0.1:51990] PHP Fatal error:  Uncaught PDOException: SQLSTATE[HY000] [1045] Access denied for user 'morty'@'localhost' (using password: YES) in /home/adam/git/oop/src/Admin/Parameters/AdminSettings.php:20\nStack trace:\n#0 /home/adam/git/oop/src/Admin/Parameters/AdminSettings.php(20): PDO->__construct('mysql:host=loca...', 'morty', 'Adrog_2016')\n#1 /home/adam/git/oop/src/Site/Parameters/Settings.php(16): Src\\Admin\\Parameters\\AdminSettings->setDatabase('PDO', 'localhost', 'test', 'morty', 'Adrog_2016')\n#2 /home/adam/git/oop/webmain/index.php(4): include('/home/adam/git/...')\n#3 {main}\n  thrown in /home/adam/git/oop/src/Admin/Parameters/AdminSettings.php on line 20
[Tue Oct 02 22:07:28.193606 2018] [php7:error] [pid 11635] [client 127.0.0.1:51996] PHP Fatal error:  Uncaught PDOException: SQLSTATE[HY000] [1049] Unknown database 'test' in /home/adam/git/oop/src/Admin/Parameters/AdminSettings.php:20\nStack trace:\n#0 /home/adam/git/oop/src/Admin/Parameters/AdminSettings.php(20): PDO->__construct('mysql:host=loca...', 'adam', 'Adrog_2016')\n#1 /home/adam/git/oop/src/Site/Parameters/Settings.php(16): Src\\Admin\\Parameters\\AdminSettings->setDatabase('PDO', 'localhost', 'test', 'adam', 'Adrog_2016')\n#2 /home/adam/git/oop/webmain/index.php(4): include('/home/adam/git/...')\n#3 {main}\n  thrown in /home/adam/git/oop/src/Admin/Parameters/AdminSettings.php on line 20
[Tue Oct 02 22:07:28.703763 2018] [php7:error] [pid 11634] [client 127.0.0.1:51998] PHP Fatal error:  Uncaught PDOException: SQLSTATE[HY000] [1049] Unknown database 'test' in /home/adam/git/oop/src/Admin/Parameters/AdminSettings.php:20\nStack trace:\n#0 /home/adam/git/oop/src/Admin/Parameters/AdminSettings.php(20): PDO->__construct('mysql:host=loca...', 'adam', 'Adrog_2016')\n#1 /home/adam/git/oop/src/Site/Parameters/Settings.php(16): Src\\Admin\\Parameters\\AdminSettings->setDatabase('PDO', 'localhost', 'test', 'adam', 'Adrog_2016')\n#2 /home/adam/git/oop/webmain/index.php(4): include('/home/adam/git/...')\n#3 {main}\n  thrown in /home/adam/git/oop/src/Admin/Parameters/AdminSettings.php on line 20
[Tue Oct 02 22:07:28.885450 2018] [php7:error] [pid 11631] [client 127.0.0.1:52000] PHP Fatal error:  Uncaught PDOException: SQLSTATE[HY000] [1049] Unknown database 'test' in /home/adam/git/oop/src/Admin/Parameters/AdminSettings.php:20\nStack trace:\n#0 /home/adam/git/oop/src/Admin/Parameters/AdminSettings.php(20): PDO->__construct('mysql:host=loca...', 'adam', 'Adrog_2016')\n#1 /home/adam/git/oop/src/Site/Parameters/Settings.php(16): Src\\Admin\\Parameters\\AdminSettings->setDatabase('PDO', 'localhost', 'test', 'adam', 'Adrog_2016')\n#2 /home/adam/git/oop/webmain/index.php(4): include('/home/adam/git/...')\n#3 {main}\n  thrown in /home/adam/git/oop/src/Admin/Parameters/AdminSettings.php on line 20
[Tue Oct 02 22:07:29.616453 2018] [php7:error] [pid 11780] [client 127.0.0.1:52002] PHP Fatal error:  Uncaught PDOException: SQLSTATE[HY000] [1049] Unknown database 'test' in /home/adam/git/oop/src/Admin/Parameters/AdminSettings.php:20\nStack trace:\n#0 /home/adam/git/oop/src/Admin/Parameters/AdminSettings.php(20): PDO->__construct('mysql:host=loca...', 'adam', 'Adrog_2016')\n#1 /home/adam/git/oop/src/Site/Parameters/Settings.php(16): Src\\Admin\\Parameters\\AdminSettings->setDatabase('PDO', 'localhost', 'test', 'adam', 'Adrog_2016')\n#2 /home/adam/git/oop/webmain/index.php(4): include('/home/adam/git/...')\n#3 {main}\n  thrown in /home/adam/git/oop/src/Admin/Parameters/AdminSettings.php on line 20
[Tue Oct 02 22:38:25.495497 2018] [php7:notice] [pid 11633] [client 127.0.0.1:52272] PHP Notice:  Undefined variable: adminController in /home/adam/git/oop/src/Site/Routing/Routes.php on line 12
[Tue Oct 02 22:38:25.517789 2018] [php7:notice] [pid 11633] [client 127.0.0.1:52272] PHP Notice:  Undefined variable: adminController in /home/adam/git/oop/src/Site/Routing/Routes.php on line 12, referer: http://oop.local/
[Tue Oct 02 22:39:25.762952 2018] [php7:notice] [pid 11632] [client 127.0.0.1:52280] PHP Notice:  Undefined variable: adminController in /home/adam/git/oop/src/Site/Routing/Routes.php on line 12
[Tue Oct 02 22:39:25.789293 2018] [php7:notice] [pid 11632] [client 127.0.0.1:52280] PHP Notice:  Undefined variable: adminController in /home/adam/git/oop/src/Site/Routing/Routes.php on line 12, referer: http://oop.local/
[Tue Oct 02 22:39:58.973205 2018] [php7:notice] [pid 11631] [client 127.0.0.1:52288] PHP Notice:  Undefined variable: adminController in /home/adam/git/oop/src/Site/Routing/Routes.php on line 12
[Tue Oct 02 22:39:58.992160 2018] [php7:notice] [pid 11631] [client 127.0.0.1:52288] PHP Notice:  Undefined variable: adminController in /home/adam/git/oop/src/Site/Routing/Routes.php on line 12, referer: http://oop.local/
[Tue Oct 02 22:39:59.609153 2018] [php7:notice] [pid 11631] [client 127.0.0.1:52288] PHP Notice:  Undefined variable: adminController in /home/adam/git/oop/src/Site/Routing/Routes.php on line 12
[Tue Oct 02 22:39:59.627609 2018] [php7:notice] [pid 11631] [client 127.0.0.1:52288] PHP Notice:  Undefined variable: adminController in /home/adam/git/oop/src/Site/Routing/Routes.php on line 12, referer: http://oop.local/
[Tue Oct 02 22:39:59.819359 2018] [php7:notice] [pid 11631] [client 127.0.0.1:52288] PHP Notice:  Undefined variable: adminController in /home/adam/git/oop/src/Site/Routing/Routes.php on line 12
[Tue Oct 02 22:39:59.840383 2018] [php7:notice] [pid 11631] [client 127.0.0.1:52288] PHP Notice:  Undefined variable: adminController in /home/adam/git/oop/src/Site/Routing/Routes.php on line 12, referer: http://oop.local/
[Tue Oct 02 22:40:00.096372 2018] [php7:notice] [pid 11631] [client 127.0.0.1:52288] PHP Notice:  Undefined variable: adminController in /home/adam/git/oop/src/Site/Routing/Routes.php on line 12
[Tue Oct 02 22:40:00.121071 2018] [php7:notice] [pid 11631] [client 127.0.0.1:52288] PHP Notice:  Undefined variable: adminController in /home/adam/git/oop/src/Site/Routing/Routes.php on line 12, referer: http://oop.local/
[Tue Oct 02 22:40:35.996169 2018] [php7:notice] [pid 11783] [client 127.0.0.1:52296] PHP Notice:  Undefined variable: adminController in /home/adam/git/oop/src/Site/Routing/Routes.php on line 12
[Tue Oct 02 22:40:36.015452 2018] [php7:notice] [pid 11783] [client 127.0.0.1:52296] PHP Notice:  Undefined variable: adminController in /home/adam/git/oop/src/Site/Routing/Routes.php on line 12, referer: http://oop.local/
[Tue Oct 02 22:40:49.514157 2018] [php7:notice] [pid 11635] [client 127.0.0.1:52306] PHP Notice:  Undefined variable: adminController in /home/adam/git/oop/src/Site/Routing/Routes.php on line 12
[Tue Oct 02 22:40:49.541743 2018] [php7:notice] [pid 11635] [client 127.0.0.1:52306] PHP Notice:  Undefined variable: adminController in /home/adam/git/oop/src/Site/Routing/Routes.php on line 12, referer: http://oop.local/
[Tue Oct 02 22:51:48.494078 2018] [php7:notice] [pid 11634] [client 127.0.0.1:52368] PHP Notice:  Undefined index: /admin/edit/page in /home/adam/git/oop/src/Site/Routing/Routes.php on line 21
[Tue Oct 02 22:51:48.494138 2018] [php7:warn] [pid 11634] [client 127.0.0.1:52368] PHP Warning:  Illegal string offset '/admin/edit/page' in /home/adam/git/oop/src/Site/Routing/Routes.php on line 21
[Tue Oct 02 22:51:48.514172 2018] [php7:notice] [pid 11634] [client 127.0.0.1:52368] PHP Notice:  Undefined index: /admin/edit/page in /home/adam/git/oop/src/Site/Routing/Routes.php on line 21, referer: http://oop.local/hello
[Tue Oct 02 22:51:48.514224 2018] [php7:warn] [pid 11634] [client 127.0.0.1:52368] PHP Warning:  Illegal string offset '/admin/edit/page' in /home/adam/git/oop/src/Site/Routing/Routes.php on line 21, referer: http://oop.local/hello
[Tue Oct 02 22:51:50.762109 2018] [php7:notice] [pid 11634] [client 127.0.0.1:52368] PHP Notice:  Undefined index: /admin/edit/page in /home/adam/git/oop/src/Site/Routing/Routes.php on line 21
[Tue Oct 02 22:51:50.762152 2018] [php7:warn] [pid 11634] [client 127.0.0.1:52368] PHP Warning:  Illegal string offset '/admin/edit/page' in /home/adam/git/oop/src/Site/Routing/Routes.php on line 21
[Tue Oct 02 22:51:50.780363 2018] [php7:notice] [pid 11634] [client 127.0.0.1:52368] PHP Notice:  Undefined index: /admin/edit/page in /home/adam/git/oop/src/Site/Routing/Routes.php on line 21, referer: http://oop.local/hello
[Tue Oct 02 22:51:50.780426 2018] [php7:warn] [pid 11634] [client 127.0.0.1:52368] PHP Warning:  Illegal string offset '/admin/edit/page' in /home/adam/git/oop/src/Site/Routing/Routes.php on line 21, referer: http://oop.local/hello
[Tue Oct 02 22:51:51.138115 2018] [php7:notice] [pid 11634] [client 127.0.0.1:52368] PHP Notice:  Undefined index: /admin/edit/page in /home/adam/git/oop/src/Site/Routing/Routes.php on line 21
[Tue Oct 02 22:51:51.138174 2018] [php7:warn] [pid 11634] [client 127.0.0.1:52368] PHP Warning:  Illegal string offset '/admin/edit/page' in /home/adam/git/oop/src/Site/Routing/Routes.php on line 21
[Tue Oct 02 22:51:51.155917 2018] [php7:notice] [pid 11634] [client 127.0.0.1:52368] PHP Notice:  Undefined index: /admin/edit/page in /home/adam/git/oop/src/Site/Routing/Routes.php on line 21, referer: http://oop.local/hello
[Tue Oct 02 22:51:51.155961 2018] [php7:warn] [pid 11634] [client 127.0.0.1:52368] PHP Warning:  Illegal string offset '/admin/edit/page' in /home/adam/git/oop/src/Site/Routing/Routes.php on line 21, referer: http://oop.local/hello
[Tue Oct 02 22:51:51.490889 2018] [php7:notice] [pid 11634] [client 127.0.0.1:52368] PHP Notice:  Undefined index: /admin/edit/page in /home/adam/git/oop/src/Site/Routing/Routes.php on line 21
[Tue Oct 02 22:51:51.490939 2018] [php7:warn] [pid 11634] [client 127.0.0.1:52368] PHP Warning:  Illegal string offset '/admin/edit/page' in /home/adam/git/oop/src/Site/Routing/Routes.php on line 21
[Tue Oct 02 22:51:51.510983 2018] [php7:notice] [pid 11634] [client 127.0.0.1:52368] PHP Notice:  Undefined index: /admin/edit/page in /home/adam/git/oop/src/Site/Routing/Routes.php on line 21, referer: http://oop.local/hello
[Tue Oct 02 22:51:51.511023 2018] [php7:warn] [pid 11634] [client 127.0.0.1:52368] PHP Warning:  Illegal string offset '/admin/edit/page' in /home/adam/git/oop/src/Site/Routing/Routes.php on line 21, referer: http://oop.local/hello
[Tue Oct 02 22:51:52.026157 2018] [php7:notice] [pid 11634] [client 127.0.0.1:52368] PHP Notice:  Undefined index: /admin/edit/page in /home/adam/git/oop/src/Site/Routing/Routes.php on line 21
[Tue Oct 02 22:51:52.026200 2018] [php7:warn] [pid 11634] [client 127.0.0.1:52368] PHP Warning:  Illegal string offset '/admin/edit/page' in /home/adam/git/oop/src/Site/Routing/Routes.php on line 21
[Tue Oct 02 22:51:52.047978 2018] [php7:notice] [pid 11634] [client 127.0.0.1:52368] PHP Notice:  Undefined index: /admin/edit/page in /home/adam/git/oop/src/Site/Routing/Routes.php on line 21, referer: http://oop.local/hello
[Tue Oct 02 22:51:52.048023 2018] [php7:warn] [pid 11634] [client 127.0.0.1:52368] PHP Warning:  Illegal string offset '/admin/edit/page' in /home/adam/git/oop/src/Site/Routing/Routes.php on line 21, referer: http://oop.local/hello
[Tue Oct 02 22:51:52.337905 2018] [php7:notice] [pid 11634] [client 127.0.0.1:52368] PHP Notice:  Undefined index: /admin/edit/page in /home/adam/git/oop/src/Site/Routing/Routes.php on line 21
[Tue Oct 02 22:51:52.337948 2018] [php7:warn] [pid 11634] [client 127.0.0.1:52368] PHP Warning:  Illegal string offset '/admin/edit/page' in /home/adam/git/oop/src/Site/Routing/Routes.php on line 21
[Tue Oct 02 22:51:52.359647 2018] [php7:notice] [pid 11634] [client 127.0.0.1:52368] PHP Notice:  Undefined index: /admin/edit/page in /home/adam/git/oop/src/Site/Routing/Routes.php on line 21, referer: http://oop.local/hello
[Tue Oct 02 22:51:52.359681 2018] [php7:warn] [pid 11634] [client 127.0.0.1:52368] PHP Warning:  Illegal string offset '/admin/edit/page' in /home/adam/git/oop/src/Site/Routing/Routes.php on line 21, referer: http://oop.local/hello
[Tue Oct 02 22:53:05.629277 2018] [php7:notice] [pid 11780] [client 127.0.0.1:52384] PHP Notice:  Undefined index: /admin/edit/page in /home/adam/git/oop/src/Site/Routing/Routes.php on line 21
[Tue Oct 02 22:53:05.629337 2018] [php7:warn] [pid 11780] [client 127.0.0.1:52384] PHP Warning:  Illegal string offset '/admin/edit/page' in /home/adam/git/oop/src/Site/Routing/Routes.php on line 21
[Tue Oct 02 22:53:05.629354 2018] [php7:warn] [pid 11780] [client 127.0.0.1:52384] PHP Warning:  Illegal string offset 'function' in /home/adam/git/oop/src/Site/Routing/Routes.php on line 21
[Tue Oct 02 22:53:05.629370 2018] [php7:warn] [pid 11780] [client 127.0.0.1:52384] PHP Warning:  Illegal string offset '/admin/edit/page' in /home/adam/git/oop/src/Site/Routing/Routes.php on line 21
[Tue Oct 02 22:53:05.629385 2018] [php7:warn] [pid 11780] [client 127.0.0.1:52384] PHP Warning:  Illegal string offset 'function' in /home/adam/git/oop/src/Site/Routing/Routes.php on line 21
[Tue Oct 02 22:53:05.649546 2018] [php7:notice] [pid 11780] [client 127.0.0.1:52384] PHP Notice:  Undefined index: /admin/edit/page in /home/adam/git/oop/src/Site/Routing/Routes.php on line 21, referer: http://oop.local/hello
[Tue Oct 02 22:53:05.649586 2018] [php7:warn] [pid 11780] [client 127.0.0.1:52384] PHP Warning:  Illegal string offset '/admin/edit/page' in /home/adam/git/oop/src/Site/Routing/Routes.php on line 21, referer: http://oop.local/hello
[Tue Oct 02 22:53:05.649598 2018] [php7:warn] [pid 11780] [client 127.0.0.1:52384] PHP Warning:  Illegal string offset 'function' in /home/adam/git/oop/src/Site/Routing/Routes.php on line 21, referer: http://oop.local/hello
[Tue Oct 02 22:53:05.649610 2018] [php7:warn] [pid 11780] [client 127.0.0.1:52384] PHP Warning:  Illegal string offset '/admin/edit/page' in /home/adam/git/oop/src/Site/Routing/Routes.php on line 21, referer: http://oop.local/hello
[Tue Oct 02 22:53:05.649621 2018] [php7:warn] [pid 11780] [client 127.0.0.1:52384] PHP Warning:  Illegal string offset 'function' in /home/adam/git/oop/src/Site/Routing/Routes.php on line 21, referer: http://oop.local/hello
[Tue Oct 02 22:53:07.994525 2018] [php7:notice] [pid 11780] [client 127.0.0.1:52384] PHP Notice:  Undefined index: /admin/edit/page in /home/adam/git/oop/src/Site/Routing/Routes.php on line 21
[Tue Oct 02 22:53:07.994572 2018] [php7:warn] [pid 11780] [client 127.0.0.1:52384] PHP Warning:  Illegal string offset '/admin/edit/page' in /home/adam/git/oop/src/Site/Routing/Routes.php on line 21
[Tue Oct 02 22:53:07.994592 2018] [php7:warn] [pid 11780] [client 127.0.0.1:52384] PHP Warning:  Illegal string offset 'function' in /home/adam/git/oop/src/Site/Routing/Routes.php on line 21
[Tue Oct 02 22:53:07.994609 2018] [php7:warn] [pid 11780] [client 127.0.0.1:52384] PHP Warning:  Illegal string offset '/admin/edit/page' in /home/adam/git/oop/src/Site/Routing/Routes.php on line 21
[Tue Oct 02 22:53:07.994641 2018] [php7:warn] [pid 11780] [client 127.0.0.1:52384] PHP Warning:  Illegal string offset 'function' in /home/adam/git/oop/src/Site/Routing/Routes.php on line 21
[Tue Oct 02 22:53:08.014171 2018] [php7:notice] [pid 11780] [client 127.0.0.1:52384] PHP Notice:  Undefined index: /admin/edit/page in /home/adam/git/oop/src/Site/Routing/Routes.php on line 21, referer: http://oop.local/hello
[Tue Oct 02 22:53:08.014202 2018] [php7:warn] [pid 11780] [client 127.0.0.1:52384] PHP Warning:  Illegal string offset '/admin/edit/page' in /home/adam/git/oop/src/Site/Routing/Routes.php on line 21, referer: http://oop.local/hello
